tr_id,restaurant_name,street,suburb,postcode,state,country,restaurant_website,num_places,latitude,longitude,gp_status,gp_website_match,error
0019000001TPv9V,Kafir Lime Special Lunch Menu,"246 Oxford Street
Levin
Horowhenua District",Levin,5510,NZL,New Zealand,kaffirlimecafe.co.nz,0,-40.6214068,175.2870778,ZERO_RESULTS,None,No website info found
0019000001TP0OD,Kaffir Lime Cafe Thai Cuisine,"246 Oxford Street
Levin, New Zealand",Levin,5510,NZL,New Zealand,kaffirlimecafe.co.nz,0,-40.6214068,175.2870778,ZERO_RESULTS,None,No website info found
0019000001Y35WJ,Spizealand Indian Kitchen,"13 / 1 Marine Parade
Mt Maunganui
Tauranga",Mt Maunganui / Tauranga,3116,NZL,New Zealand,,0,None,None,None,None,None
0019000001UgT3D,Spice Traders Online Specials,"97 Victoria Road
Devonport",Devonport / Auckland,624,NZL,New Zealand,spicetraders.co.nz,0,-41.166307,146.3642382,ZERO_RESULTS,None,No website info found
0019000001WDw7U,Tandoori Pakwan Lunch Time Deliveries,"18-24 Allen Street, Te Aro
Wellington",Te Aro / Wellington,6011,NZL,New Zealand,tandooripakwan.nz,0,-41.2931718,174.7821448,ZERO_RESULTS,None,No website info found
0019000001Ufvk8,Pizza King,"65 Main Street
Huntly
Waikato",Huntly / Waikato,3700,NZL,New Zealand,,1,-37.5575943,175.1589501,OK,None,None
0019000001UgTfA,Cafe Al - Madina,3/321 Karangahape Rd (K-Road),Auckland Central,1010,,New Zealand,,0,-36.8484597,174.7633315,ZERO_RESULTS,None,No website info found
0019000001UiyUi,Curry Mehak Indian Takeaway & Delivery,"Cnr 381 Te-ngae Rd, 
Basley, Rotorua",Basley / Rotorua,3010,NZL,New Zealand,currymehak.co.nz,0,None,None,None,None,None
0019000001WDw4G,Tandoori Pakwan Dinner Deals,"18-24 Allen Street, Te Aro
Wellington",Te Aro / Wellington,6011,NZL,New Zealand,tandooripakwan.nz,0,-41.2931718,174.7821448,ZERO_RESULTS,None,No website info found
0019000001WDOXA,Crave Coffee,"The Point
Broadway Street
Ngaruawahia, Waikato","Ngaruawahia, Waikato",3720,NZL,New Zealand,,0,None,None,None,None,None
0019000001Uh0Sm,Indian Taj Lunch Time Only,"109 High Street North
Carterton",Carterton / Wellington,0,NZL,New Zealand,,0,None,None,None,None,None
0019000001UiyUJ,Swad Online Specials,"9 Aviemore Dr, Highland Park, Auckland 2010",Highland Park / Auckland,2010,NZL,New Zealand,swad.co.nz,0,-36.9000989,174.9052711,ZERO_RESULTS,None,No website info found
0019000001WEFoU,Mughlai MerCury,"2/248 Willis Street
Te Aro",Te Aro / Welington,6011,NZL,New Zealand,,1,-41.2940925,174.7717275,OK,None,None
0019000001UglPN,Celies Catering,516 Adelaide Road,Berhampore / Wellington,6023,NZL,New Zealand,,0,-41.3224067,174.7750207,ZERO_RESULTS,None,No website info found
0019000001Ug3cO,Waihi Pizza Club,"3/47 Seddon Street
Waihi / Waikato",Waihi / Waikato,3610,Auckland,New Zealand,,0,-37.3907565,175.8411914,ZERO_RESULTS,None,No website info found
0019000001UgR2u,Erawann Thai Authentic Thai Cuisine,"6/280 Richmond Road, 
Grey Lynn, Auckland",Grey Lynn / Auckland,1021,NZL,New Zealand,,1,-36.854964,174.7318949,OK,None,None
0019000001UhEmJ,Star of India Takeaways & Deliveries,"276 Rangitikei St, Palmerston North Central, Manawatu-Wanganui",Palmerston North / Manawatu-Wanganui,4410,NZL,New Zealand,,1,-40.3499436,175.6067838,OK,None,None
0019000001WEFgz,Adulis Eritrean Ethiopian & African Cuisine,"6/100 Tory Street
Te Aro / Wellington",Te Aro / Wellington,6011,NZL,New Zealand,,0,-41.2955602,174.779811,ZERO_RESULTS,None,No website info found
0019000001UhPDi,Mint Catering,"400 Titirangi Road
Titirangi
Auckland",Titirangi / Auckland,604,NZL,New Zealand,,0,-36.9379544,174.6577127,ZERO_RESULTS,None,No website info found
0019000001WEFs2,Mughlai Lunch Time Deliveries,"248 Willis Street
Te Aro",Te Aro / Welington,6011,NZL,New Zealand,,0,-41.2940925,174.7717275,ZERO_RESULTS,None,No website info found
0019000001UhFRN,ShangHai Chinese Restaurant,"44 Horsham Downs Road, Rototuna, Hamilton",Rototuna / Hamilton,3216,NZL,New Zealand,,0,-37.7290302,175.2735818,ZERO_RESULTS,None,No website info found
0019000001Ugkk5,Celies Waffle House & American Cuisine,"516 Adelaide Road
Berhampore",Berhampore / Wellington,6023,NZL,New Zealand,celiesnz.com,0,None,None,None,None,None
0019000001UiTZj,Demo Christchurch Test Venue,Moorhouse Avenue,Christchurch,0,NZL,New Zealand,,0,-43.53988,172.6344502,ZERO_RESULTS,None,No website info found
0019000001UiuDw,Taste of Raj Restaurant,"91 Jackson Street
Petone",Petone / Wellington,5012,NZL,New Zealand,tasteofraj.co.nz,1,-41.2239988,174.8747634,OK,TRUE,None
0019000001Ug6lI,Heaven Woodfire Pizza,"247 Cuba Street 
Te Aro Wellington Central",Te Aro / Wellington,6011,NZL,New Zealand,heavenspizza.co.nz,1,-41.2959458,174.7744646,OK,TRUE,None
0019000001GuGgH,Select Pizza - Papatoetoe,Corner Great South Road & St George Street,Papatoetoe,,NZ,New Zealand,selectpizza.co.nz,0,42.4918612,-71.2789887,ZERO_RESULTS,None,No website info found
